frame_idx,time_sec,track_id,castor_detected,person_detected,min_person_to_castor_px,min_hand_to_castor_px,near_robot,probable_contact,inside_robot_zone,interaction_score_frame,interaction_label_frame
826,27.560866666666666,4,1,1,555.3922338846007,280.5391845703125,0,0,0,0.0,nula
826,27.560866666666666,6,1,1,843.2455780188204,572.6412963867188,0,0,0,0.0,nula
827,27.594233333333335,4,1,1,553.9118223270415,281.1130676269531,0,0,0,0.0,nula
827,27.594233333333335,6,1,1,847.5346719846555,577.8943176269531,0,0,0,0.0,nula
828,27.6276,4,1,1,552.1952159086321,279.0561218261719,0,0,0,0.0,nula
828,27.6276,6,1,1,850.5473784048213,574.6114807128906,0,0,0,0.0,nula
829,27.660966666666667,4,1,1,550.5282023490471,279.25164794921875,0,0,0,0.0,nula
829,27.660966666666667,6,1,1,852.7917204973658,571.1460571289062,0,0,0,0.0,nula
830,27.694333333333333,4,1,1,548.8959109712794,280.3079833984375,0,0,0,0.0,nula
830,27.694333333333333,6,1,1,854.5122098541331,571.8238525390625,0,0,0,0.0,nula
831,27.727700000000002,4,1,1,547.2011133913207,280.44329833984375,0,0,0,0.0,nula
831,27.727700000000002,6,1,1,856.3235332529603,573.350830078125,0,0,0,0.0,nula
832,27.761066666666668,4,1,1,545.469221930678,280.37884521484375,0,0,0,0.0,nula
832,27.761066666666668,6,1,1,858.1614523915057,574.6953125,0,0,0,0.0,nula
833,27.794433333333334,4,1,1,543.8958246798784,278.998046875,0,0,0,0.0,nula
833,27.794433333333334,6,1,1,859.6276208864183,579.6141967773438,0,0,0,0.0,nula
834,27.8278,4,1,1,541.9663341672092,280.17828369140625,0,0,0,0.0,nula
834,27.8278,6,1,1,860.87763428425,586.7539672851562,0,0,0,0.0,nula
835,27.861166666666666,4,1,1,539.8622791150383,281.20672607421875,0,0,0,0.0,nula
835,27.861166666666666,6,1,1,862.0228818187602,590.7822875976562,0,0,0,0.0,nula
836,27.894533333333335,4,1,1,537.3253045326784,276.74066162109375,0,0,0,0.0,nula
836,27.894533333333335,6,1,1,862.8428789924012,597.2066650390625,0,0,0,0.0,nula
837,27.9279,4,1,1,535.1550381609023,277.0995788574219,0,0,0,0.0,nula
837,27.9279,6,1,1,864.7236781730969,611.5942077636719,0,0,0,0.0,nula
838,27.961266666666667,4,1,1,533.2332043327158,279.4383544921875,0,0,0,0.0,nula
838,27.961266666666667,6,1,1,869.2946730571523,626.3527221679688,0,0,0,0.0,nula
839,27.994633333333333,4,1,1,531.0999120514138,279.38330078125,0,0,0,0.0,nula
839,27.994633333333333,6,1,1,874.1980381529755,647.6828002929688,0,0,0,0.0,nula
840,28.028000000000002,4,1,1,528.4977963451656,275.83331298828125,0,0,0,0.0,nula
840,28.028000000000002,6,1,1,880.975672215025,662.2352294921875,0,0,0,0.0,nula
841,28.061366666666668,4,1,1,525.4993461937127,275.36529541015625,0,0,0,0.0,nula
841,28.061366666666668,6,1,1,886.9444605287081,674.7265014648438,0,0,0,0.0,nula
842,28.094733333333334,4,1,1,522.6029824292789,274.97369384765625,0,0,0,0.0,nula
842,28.094733333333334,6,1,1,893.330077700667,688.3971557617188,0,0,0,0.0,nula
843,28.1281,4,1,1,519.6620908588776,269.6923828125,0,0,0,0.0,nula
843,28.1281,6,1,1,901.31947015009,712.4594116210938,0,0,0,0.0,nula
844,28.161466666666666,4,1,1,516.7988487725333,263.75531005859375,0,0,0,0.0,nula
844,28.161466666666666,6,1,1,909.1328384228775,732.2525024414062,0,0,0,0.0,nula
845,28.194833333333335,4,1,1,513.8257415835083,258.58013916015625,0,0,0,0.0,nula
845,28.194833333333335,6,1,1,917.4057924951102,744.4537353515625,0,0,0,0.0,nula
846,28.2282,4,1,1,510.781640933541,253.05645751953125,0,0,0,0.0,nula
846,28.2282,6,1,1,925.9239590191717,765.0718383789062,0,0,0,0.0,nula
847,28.261566666666667,4,1,1,507.5541231286505,244.60525512695312,0,0,0,0.0,nula
847,28.261566666666667,6,1,1,934.200534493104,779.3504943847656,0,0,0,0.0,nula
848,28.294933333333333,4,1,1,503.7624643565395,237.11019897460938,0,0,0,0.0,nula
848,28.294933333333333,6,1,1,941.7866529464575,797.4035949707031,0,0,0,0.0,nula
849,28.328300000000002,4,1,1,500.1613137487051,229.92926025390625,0,0,0,0.0,nula
849,28.328300000000002,6,1,1,949.6042293300183,807.7979736328125,0,0,0,0.0,nula
850,28.361666666666668,4,1,1,496.47949213552084,226.30184936523438,0,0,0,0.0,nula
850,28.361666666666668,6,1,1,957.2355818816513,824.6867370605469,0,0,0,0.0,nula
851,28.395033333333334,4,1,1,492.4224007947117,224.5531005859375,0,0,0,0.0,nula
851,28.395033333333334,6,1,1,964.3297982945674,838.4815673828125,0,0,0,0.0,nula
852,28.4284,4,1,1,488.465861159661,217.852294921875,0,0,0,0.0,nula
852,28.4284,6,1,1,970.6104513893455,852.222412109375,0,0,0,0.0,nula
