frame_idx,timestamp_sec,target_id,target_visible,visible_ids,num_people,castor_visible,castor_bbox,target_bbox,face_confidence,pose_confidence,gaze_to_castor_prob,gaze_label,gaze_source,body_to_castor_distance_cm,hand_to_castor_distance_px,proxemic_zone,touch_prob,touch_state,interaction_state,confidence_level
35,1.1666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(0.8147379755973816, 138.70521545410156, 413.5006103515625, 720.0)","(908.048583984375, 2.9416251182556152, 1266.7330322265625, 632.548095703125)",0.0,0.9149266878763834,0.0,indeterminado,none,168.5942031598823,520.3807845413685,zona_3,0.0,sem_contato,proximidade,media
36,1.2,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 140.037841796875, 425.2842102050781, 720.0)","(904.5126953125, 1.9810881614685059, 1265.1180419921875, 631.325927734375)",0.0,0.9202002816730075,0.0,indeterminado,none,167.15848801366738,504.6560638323426,zona_3,0.0,sem_contato,proximidade,media
37,1.2333333333333334,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.7508087158203, 424.9510192871094, 720.0)","(901.404052734375, 1.415443778038025, 1264.10009765625, 630.8547973632812)",0.0,0.9257290893130832,0.0,indeterminado,none,166.7827777435452,502.29194767028093,zona_3,0.0,sem_contato,proximidade,media
38,1.2666666666666666,1,True,"[1, 2, 3, 6]",4,True,"(0.2828775942325592, 138.90330505371094, 401.917236328125, 720.0)","(898.6138916015625, 3.1513569355010986, 1268.4827880859375, 643.1801147460938)",0.0,0.930632213751475,0.0,indeterminado,none,166.0773520268229,522.2973490506411,zona_3,0.0,sem_contato,proximidade,media
39,1.3,1,True,"[1, 2, 3, 6]",4,True,"(5.352945804595947, 138.00927734375, 376.5654296875, 720.0)","(893.947265625, 3.7361152172088623, 1276.621826171875, 667.7023315429688)",0.0,0.9357421861754524,0.0,indeterminado,none,161.90941210224634,543.0312173813581,zona_3,0.0,sem_contato,proximidade,media
40,1.3333333333333333,1,True,"[1, 2, 3, 6]",4,True,"(5.329915523529053, 138.3990936279297, 378.5516357421875, 720.0)","(890.152099609375, 2.9481124877929688, 1280.0, 685.4739379882812)",0.0,0.9395324389139811,0.0,indeterminado,none,157.1461177617686,538.1074802577496,zona_3,0.0,sem_contato,proximidade,media
41,1.3666666666666667,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.32749938964844, 411.9827880859375, 720.0)","(886.9723510742188, 2.55692982673645, 1280.0, 698.025146484375)",0.0,0.9435905681716071,0.0,indeterminado,none,151.45535724500652,501.2982108145952,zona_3,0.0,sem_contato,proximidade,media
42,1.4,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.32093811035156, 411.8990173339844, 720.0)","(886.320556640625, 2.3963804244995117, 1280.0, 702.6503295898438)",0.0,0.9466123647160001,0.0,indeterminado,none,150.35385264169685,501.7904310375452,zona_3,0.0,sem_contato,proximidade,media
43,1.4333333333333333,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 138.4853515625, 403.6058044433594, 720.0)","(883.4521484375, 2.3836047649383545, 1280.0, 713.1958618164062)",0.0,0.9498135712411668,0.0,indeterminado,none,148.55390630396212,507.1268601194024,zona_3,0.0,sem_contato,proximidade,media
44,1.4666666666666666,1,True,"[1, 2, 3, 6]",4,True,"(0.67724609375, 137.8203125, 379.4004821777344, 720.0)","(880.4480590820312, 2.458966016769409, 1280.0, 720.0)",0.0,0.952671660317315,0.0,indeterminado,none,148.87262858771828,527.6902550458908,zona_3,0.0,sem_contato,proximidade,media
45,1.5,1,True,"[1, 2, 3, 6]",4,True,"(4.997518062591553, 138.24705505371094, 378.259521484375, 720.0)","(878.7206420898438, 2.1271135807037354, 1280.0, 720.0)",0.0,0.9549692802959018,0.0,indeterminado,none,148.39370335314726,525.4887238442898,zona_3,0.0,sem_contato,proximidade,media
46,1.5333333333333334,1,True,"[1, 2, 3, 6]",4,True,"(0.0, 139.1880645751953, 415.3667907714844, 720.0)","(875.8362426757812, 0.8194331526756287, 1280.0, 720.0)",0.0,0.9566813442442152,0.0,indeterminado,none,145.2043783274625,484.16927107423544,zona_3,0.0,sem_contato,proximidade,media
