track_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,mean_person_distance_px,mean_hand_distance_px,near_ratio,contact_ratio,mean_score,label
248,25779,25970,860.1593,866.5323333333333,6.3730333333332965,126.842238063412,0.0,1.0,1.0,87.28681167880302,alta
249,25971,26001,866.5657,867.5667,1.0343666666666667,198.17890569771325,0.0,1.0,1.0,80.22925160589928,alta
249,26009,26023,867.8336333333333,868.3007666666667,0.5005000000000001,139.61128799409332,0.0,1.0,1.0,86.65271093155876,alta
249,26025,26172,868.3675000000001,873.2724000000001,4.938266666666666,161.1178537116511,0.0,1.0,1.0,83.83366549341599,alta
249,26176,26223,873.4058666666667,874.9741,1.5682333333333334,202.35614645130562,0.0,1.0,1.0,79.63147262063022,alta
249,26249,26262,875.8416333333333,876.2754,0.46713333333333334,270.9233482587009,0.0,1.0,1.0,81.05146703171866,alta
250,26249,26294,875.8416333333333,877.3431333333333,1.5348666666666666,57.3342598409568,0.0,1.0,1.0,97.06584063207987,alta
250,26363,26383,879.6454333333334,880.3127666666667,0.6673333333333176,177.16268918304763,38.875113351004465,1.0,0.42857142857142855,54.727521114434204,media
252,26361,26383,879.5787,880.3127666666667,0.7674333333333333,195.97925087606725,0.0,1.0,0.0,48.431950763699135,media
253,26428,26444,881.8142666666666,882.3481333333333,0.5672333333333334,77.01610400776053,0.0,1.0,1.0,96.0672129752174,alta
253,26529,26543,885.1843,885.6514333333333,0.5005000000000001,129.90996714632604,0.0,1.0,1.0,96.38334341867022,alta
254,26537,26570,885.4512333333333,886.5523333333333,1.101099999999974,228.9330233276313,80.62970066070557,1.0,0.0,37.63137389040982,baixa
254,26593,26634,887.3197666666667,888.6878,1.368033333333301,73.4699827228619,1.189888332201087,1.0,1.0,93.0741229241462,alta
254,26636,26671,888.7545333333334,889.9223666666667,1.2012,44.88458325884024,0.0,1.0,1.0,95.31465742922666,alta
255,26529,26543,885.1843,885.6514333333333,0.5005000000000001,267.253487198887,0.0,1.0,1.0,82.71360722336642,alta
255,26557,26570,886.1185666666667,886.5523333333333,0.46713333333333334,179.74621231314435,0.0,1.0,1.0,81.77565555818691,alta
255,26593,26620,887.3197666666667,888.2206666666667,0.9342666666666667,219.73008322004657,0.0,1.0,1.0,77.87078837335771,alta
257,26596,26634,887.4198666666667,888.6878,1.3013000000000001,151.04045872218592,0.9803404196714743,1.0,1.0,83.3706321526957,alta
257,26636,26673,888.7545333333334,889.9891,1.2345666666666375,153.33193076815476,0.0,1.0,1.0,84.23491659677248,alta
257,26695,26906,890.7231666666667,897.7635333333334,7.073733333333333,196.19413692515377,0.0,1.0,1.0,80.43021583574406,alta
257,26912,26939,897.9637333333334,898.8646333333334,0.9342666666666667,213.3066704582912,0.0,1.0,1.0,78.64590536939365,alta
257,26941,26987,898.9313666666667,900.4662333333333,1.5348666666666304,180.3376819401233,0.0,1.0,1.0,82.2661335770578,alta
259,26695,26778,890.7231666666667,893.4926,2.7694333333333816,202.76225341038275,69.89772440592448,1.0,0.22666666666666666,42.185201025418415,baixa
259,26850,26906,895.895,897.7635333333334,1.9019,201.18180565365762,72.74286638226425,1.0,0.22807017543859648,41.221698692366836,baixa
259,26912,26939,897.9637333333334,898.8646333333334,0.9342666666666667,158.74099137933717,0.0,1.0,1.0,84.14060833568404,alta
260,26700,26733,890.89,891.9911,1.101099999999974,107.74484633001832,17.353013780381943,1.0,0.7777777777777778,77.08165903325951,alta
261,26773,26857,893.3257666666667,896.1285666666666,2.802799999999934,67.02827444255362,0.0,1.0,1.0,93.1540072444935,alta
263,26941,27006,898.9313666666667,901.1002,2.168833333333282,50.76583627273661,0.0,1.0,1.0,94.863772548707,alta
263,27010,27023,901.2336666666666,901.6674333333334,0.46713333333333334,56.892468042042466,4.209780011858259,1.0,1.0,89.89278983175517,alta
264,26964,27006,899.6988,901.1002,1.401399999999967,173.74582794705756,41.964517032398895,1.0,0.35294117647058826,52.83669608843284,media
271,27316,27400,911.4438666666667,914.2466666666667,2.802799999999934,76.55279199509009,0.0,1.0,1.0,92.55419310186076,alta
272,27316,27449,911.4438666666667,915.8816333333333,4.437766666666562,197.65727403828578,0.0,1.0,1.0,80.24854773275462,alta
273,27324,28068,911.7108000000001,936.5356,24.824799999999982,184.95186994578765,0.2670825255403371,1.0,1.0,81.21138551990504,alta
273,28070,28124,936.6023333333334,938.4041333333333,1.8351666666666666,188.8766854959201,0.0,1.0,1.0,80.93033846714268,alta
273,28134,28148,938.7378,939.2049333333333,0.5005000000000001,298.2402781519366,0.0,1.0,1.0,76.48575853196031,alta
